video_title,author,comment_text,Cleaned_Comment,Sentiment
Java Tutorial: Variables and Data Types in Java Programming,@rehmat_q01,for &quot;n&quot; primitive data type the formula would be -(2^8n/2 to (2^8n/2) - 1,for quotnquot primitive data type the formula would be 28n2 to 28n2 1,neutral
Java Tutorial: Variables and Data Types in Java Programming,@tishaSingh-jc1lg,AMAZING JAVA COURSE &amp; ofc the sir🥰❤,AMAZING JAVA COURSE amp ofc the sir,positive
Java Tutorial: Variables and Data Types in Java Programming,@user-rx3lf9uu8p,hello in addition of 3 numbers i created a varible called sum and i am assigning the value to sum is a+b+c then the sum is not a string ?,hello in addition of 3 numbers i created a varible called sum and i am assigning the value to sum is abc then the sum is not a string,neutral
Java Tutorial: Variables and Data Types in Java Programming,@mayank3585,If it takes n bytes formula is ---&gt;<br>2^n*8/2 to 2^n*8/2 - 1,If it takes n bytes formula is gt2n82 to 2n82 1,neutral
Java Tutorial: Variables and Data Types in Java Programming,@dasharathsingh7546,-(2)8n/2 to (2)8n/2-1,28n2 to 28n21,neutral
Java Tutorial: Variables and Data Types in Java Programming,@MiwcuDLame,"Amazing Java course 😌 <br>Seriously, yeh course sexy hai",Amazing Java course Seriously yeh course sexy hai,positive
Java Tutorial: Variables and Data Types in Java Programming,@yuvrajsharma6904,18.20 = genetic form for n bytes is from -[2^(⁸n)]/2 to [2^(⁸n)]/2-1,1820 genetic form for n bytes is from 2n2 to 2n21,neutral
Java Tutorial: Variables and Data Types in Java Programming,@amansahu4014,Amazing java course,Amazing java course,positive
Java Tutorial: Variables and Data Types in Java Programming,@Piano_vishwakarma_himanshu.426,8n,8n,neutral
Java Tutorial: Variables and Data Types in Java Programming,@sanjaym5284,thank you soo much for making such an good series of videos,thank you soo much for making such an good series of videos,positive
Java Tutorial: Variables and Data Types in Java Programming,@AdityaGupta-hj6uc,n x 8= 8n &quot;-2 to the power 8n whole divided by 2 ... to (2 to the power 8n whole divided by 2 ) - 1&quot;,n x 8 8n quot2 to the power 8n whole divided by 2 to 2 to the power 8n whole divided by 2 1quot,positive
Java Tutorial: Variables and Data Types in Java Programming,@dbcreation2332,Amazing,Amazing,positive
Java Tutorial: Variables and Data Types in Java Programming,@pallavdhariwal4463,"<a href=""UCkszU2WH9gy1mb0dV-11UJg/Iv90XouTLuOR8gSxxrToBA""></a>",,neutral
Java Tutorial: Variables and Data Types in Java Programming,@Unknownhelper901,bhai naya course laho na 2024 wala,bhai naya course laho na 2024 wala,neutral
Java Tutorial: Variables and Data Types in Java Programming,@swapnilsutar2511,(2 ^(n*8)/2) To (2^(n*8)/2)-1,2 n82 To 2n821,neutral
Java Tutorial: Variables and Data Types in Java Programming,@khanengineeringclub8442,N power 8,N power 8,neutral
Java Tutorial: Variables and Data Types in Java Programming,@shalinimishra4050,Amazing Java Course,Amazing Java Course,positive
Java Tutorial: Variables and Data Types in Java Programming,@shalinimishra4050,Amazing Data Types,Amazing Data Types,positive
Java Tutorial: Variables and Data Types in Java Programming,@anjaliverma3837,Amazing java code,Amazing java code,positive
Java Tutorial: Variables and Data Types in Java Programming,@shrastitiwari1648,Notes kaha sy download Krna hoga,Notes kaha sy download Krna hoga,neutral
Java Tutorial: Variables and Data Types in Java Programming,@shayan3354,Thanks a lot I am starting to learn Java and this playlist is helping a lot for someone who have very less knowledge on programming language,Thanks a lot I am starting to learn Java and this playlist is helping a lot for someone who have very less knowledge on programming language,negative
Java Tutorial: Variables and Data Types in Java Programming,@adityapatel7439,amazing java course....,amazing java course,positive
Java Tutorial: Variables and Data Types in Java Programming,@princebhagat5523,"<a href=""https://www.youtube.com/watch?v=X0zdAG7gfgs&amp;t=1119"">18:39</a> lol mai to commerce sai hu",1839 lol mai to commerce sai hu,positive
Java Tutorial: Variables and Data Types in Java Programming,@personalsupport9031,amazing awesome java,amazing awesome java,positive
Java Tutorial: Variables and Data Types in Java Programming,@mdsaif9757,"Am<br>,ing java  course",Aming java course,neutral
Java Tutorial: Variables and Data Types in Java Programming,@LuciferShakespear,AMAZING JAVA COURSE🔥🔥,AMAZING JAVA COURSE,positive
Java Tutorial: Variables and Data Types in Java Programming,@peace_3D,❤❤❤,,neutral
Java Tutorial: Variables and Data Types in Java Programming,@SushantiSingh-le9pm,-(2^n/2) + (2^n/2)-1,2n2 2n21,neutral
Java Tutorial: Variables and Data Types in Java Programming,@ShreeS,can anyone one send the link for hand written notes? please,can anyone one send the link for hand written notes please,neutral
Java Tutorial: Variables and Data Types in Java Programming,@rihanruhan8541,Amazing java code!!!!,Amazing java code,positive
Java Tutorial: Variables and Data Types in Java Programming,@prince_meena11,Amazing java course,Amazing java course,positive
Java Tutorial: Variables and Data Types in Java Programming,@TanishMutha,amazing  java code,amazing java code,positive
Java Tutorial: Variables and Data Types in Java Programming,@SaifKhan-il5yo,Congratulations for 1000  video,Congratulations for 1000 video,neutral
Java Tutorial: Variables and Data Types in Java Programming,@DevSahu-ts6fj,amazing java course for begginers to advance,amazing java course for begginers to advance,positive
Java Tutorial: Variables and Data Types in Java Programming,@anuragsolanke4523,amazing,amazing,positive
Java Tutorial: Variables and Data Types in Java Programming,@KumbharDhanashree,Nice,Nice,positive
Java Tutorial: Variables and Data Types in Java Programming,@x4ush,n bytes = 2^n*8 / 2 - 1,n bytes 2n8 2 1,neutral
Java Tutorial: Variables and Data Types in Java Programming,@AnasKhan-mp5hu,Formula For n-bytes -<br>-2^n*8+2^n*8-1,Formula For nbytes 2n82n81,neutral
Java Tutorial: Variables and Data Types in Java Programming,@EmanJameel-it5fs,Sir is lecture ka notes kaha pa milay ga?,Sir is lecture ka notes kaha pa milay ga,neutral
Java Tutorial: Variables and Data Types in Java Programming,@All_Round-Knowledge,(-(2^8n)/2   to      (2^8n)/2-1),28n2 to 28n21,neutral
Java Tutorial: Variables and Data Types in Java Programming,@satyamsingh763,10-05-2024 <br>Completed it,10052024 Completed it,neutral
Java Tutorial: Variables and Data Types in Java Programming,@Nothingtosaymore,Perfect explanation,Perfect explanation,positive
Java Tutorial: Variables and Data Types in Java Programming,@adarshvishwakarma3372,"<a href=""https://www.youtube.com/watch?v=X0zdAG7gfgs&amp;t=1095"">18:15</a> for integer taking &quot;n&quot; bytes the formula becomes:- {-(2^n)/2 } to {(2^n)/2 - 1}",1815 for integer taking quotnquot bytes the formula becomes 2n2 to 2n2 1,neutral
Java Tutorial: Variables and Data Types in Java Programming,@tanweeramjad4458,"package zstronic;<br>public class Main {<br>    public static void main(String[] args) {<br>        int a = 400 , b = 400 ;<br>        int sum = a + b ;<br>        int sub = a - b ;<br>        int mul = a * b ;<br>        int div = a / b ;<br>        System.out.println(&quot;sum of the value : &quot;+sum);<br>        System.out.println(&quot;sub of the value : &quot;+sub);<br>        System.out.println(&quot;mul of the value : &quot;+mul);<br>        System.out.println(&quot;div of the value : &quot;+div);<br><br>    }",package zstronic public class Main public static void mainString args int a 400 b 400 int sum a b int sub a b int mul a b int div a b Systemoutprintlnquotsum of the value quotsum Systemoutprintlnquotsub of the value quotsub Systemoutprintlnquotmul of the value quotmul Systemoutprintlnquotdiv of the value quotdiv,positive
Java Tutorial: Variables and Data Types in Java Programming,@MYjordan.,Day 1,Day 1,neutral
Java Tutorial: Variables and Data Types in Java Programming,@MYjordan.,"-2^2n/2,+2^2n/2-1",22n222n21,neutral
Java Tutorial: Variables and Data Types in Java Programming,@vivekkumarkushwaha3894,Amazing course,Amazing course,positive
Java Tutorial: Variables and Data Types in Java Programming,@Sin_office77,Amazing Java codes sir l am a 13 yr trying to learn and apply Java in my skill set thank so much.,Amazing Java codes sir l am a 13 yr trying to learn and apply Java in my skill set thank so much,positive
Java Tutorial: Variables and Data Types in Java Programming,@user-lv6rb6sm7n,2ki power 8*n/2,2ki power 8n2,neutral
Java Tutorial: Variables and Data Types in Java Programming,@zainabsania2254,"amazing video , Thanks a ton 👏🙌🙌🤩",amazing video Thanks a ton,positive
Java Tutorial: Variables and Data Types in Java Programming,@Herobrine633,-(2^8n)/2 to (2^8n)/2-1,28n2 to 28n21,neutral
Java Tutorial: Variables and Data Types in Java Programming,@AmIGreat_,Formula is -(2^8n)/2 to (2^8n)/2 <br>Please Confirm This.,Formula is 28n2 to 28n2 Please Confirm This,neutral
Java Tutorial: Variables and Data Types in Java Programming,@MotivationalMindsNetwork,Amazing Java Course,Amazing Java Course,positive
Java Tutorial: Variables and Data Types in Java Programming,@user-pg7kz4hd2b,notes kaise milenge ..?,notes kaise milenge,neutral
Java Tutorial: Variables and Data Types in Java Programming,@jiyawadhwa7603,"If size is N bytes then <br>Value belongs to [- 2^8N/2,2^8N/2-1]",If size is N bytes then Value belongs to 28N228N21,neutral
Java Tutorial: Variables and Data Types in Java Programming,@dr.manishkumar6050,Notes link pls,Notes link pls,neutral
Java Tutorial: Variables and Data Types in Java Programming,@Ji_zooz,Kya kisi ki job lgi he after watching that ???,Kya kisi ki job lgi he after watching that,neutral
Java Tutorial: Variables and Data Types in Java Programming,@MOVIEEXPLAIN7.7,"My teacher tell why are you not focus on class study l reply them ,l   depend on Harry 😅",My teacher tell why are you not focus on class study l reply them l depend on Harry,neutral
Java Tutorial: Variables and Data Types in Java Programming,@sambitsaha8485,(-2^n*8)/2 to ((2^n*8)/2)-1,2n82 to 2n821,neutral
Java Tutorial: Variables and Data Types in Java Programming,@lakshmikantabag2948,"Sir, muja nots nahi mil rahi ha. <br>Nots ki link pa click karna ki bad<br>Opps, error aa rahi ha ma download nahi kar pa rahi hu",Sir muja nots nahi mil rahi ha Nots ki link pa click karna ki badOpps error aa rahi ha ma download nahi kar pa rahi hu,neutral
Java Tutorial: Variables and Data Types in Java Programming,@user-tx2pm7cr7l,Video 3 completed,Video 3 completed,neutral
Java Tutorial: Variables and Data Types in Java Programming,@apoorvakavidayal9805,Awesome course,Awesome course,positive
Java Tutorial: Variables and Data Types in Java Programming,@SOURAVPATAR-ei5xg,-(2^8n)/2) to (2^8n)/2-1,28n2 to 28n21,neutral
Java Tutorial: Variables and Data Types in Java Programming,@user-kl2xi7be4x,System.out.println(&quot;Harry sir is best&quot;),SystemoutprintlnquotHarry sir is bestquot,neutral
Java Tutorial: Variables and Data Types in Java Programming,@jenny.jordan,(2pow 8*n)/2 to (2pow 8*n) -1 where n= no of bytes,2pow 8n2 to 2pow 8n 1 where n no of bytes,neutral
Java Tutorial: Variables and Data Types in Java Programming,@rizan_31,amazing java course,amazing java course,positive
Java Tutorial: Variables and Data Types in Java Programming,@sufiyanmogal1527,n = &gt; (-2 to the power (n*8)/2) to  (2 to the power (n*8)/2) - 1,n gt 2 to the power n82 to 2 to the power n82 1,neutral
Java Tutorial: Variables and Data Types in Java Programming,@trehansharma171,U are jord bro ❤,U are jord bro,neutral
Java Tutorial: Variables and Data Types in Java Programming,@Lynx_2004,nice explanation sir!<br>i like the way ur teachings. I have appeared my 12th HSC boards (March 2024). Now I am learning Java from you.<br>Much loving video and teaching sir ❤,nice explanation siri like the way ur teachings I have appeared my 12th HSC boards March 2024 Now I am learning Java from youMuch loving video and teaching sir,positive
Java Tutorial: Variables and Data Types in Java Programming,@creativemahavir9050,Amazing Java,Amazing Java,positive
Java Tutorial: Variables and Data Types in Java Programming,@jainutsav7287,@CodeWithHarry Bhai i cannot download the notes.,CodeWithHarry Bhai i cannot download the notes,neutral
Java Tutorial: Variables and Data Types in Java Programming,@aditi-fg2hv,thank you sir for this amazing class 😊<br>completed it on 19 April 2024☀,thank you sir for this amazing class completed it on 19 April 2024,positive
Java Tutorial: Variables and Data Types in Java Programming,@masterofphotons1130,"<a href=""https://www.youtube.com/watch?v=X0zdAG7gfgs&amp;t=1281"">21:21</a> <br>class sum {<br>    public void summation(int a,int b, int c) {<br>    int add= a + b + c;<br>    System.out.println(&quot;Sum of three numbers is: &quot;+ add);<br>    }<br>}",2121 class sum public void summationint aint b int c int add a b c SystemoutprintlnquotSum of three numbers is quot add,neutral
Java Tutorial: Variables and Data Types in Java Programming,@sanidhya3024,link of notes is not opening,link of notes is not opening,neutral
Java Tutorial: Variables and Data Types in Java Programming,@AyaanKhan-do4ft,NOTES KI LINK OPEN NHI HORI HAI HARRY BHAI <br>BHT BAAR TRY KIYA🙌,NOTES KI LINK OPEN NHI HORI HAI HARRY BHAI BHT BAAR TRY KIYA,neutral
Java Tutorial: Variables and Data Types in Java Programming,@Bad_engineer0,-(2^8n)/2 to (2^8n)/2,28n2 to 28n2,neutral
Java Tutorial: Variables and Data Types in Java Programming,@ProarjGamer,Hello Harry I am Arjun from class 6th I am learning Java during my summer vacation.,Hello Harry I am Arjun from class 6th I am learning Java during my summer vacation,neutral
Java Tutorial: Variables and Data Types in Java Programming,@MrSpencerr,Amazing Java Course ❤,Amazing Java Course,positive
Java Tutorial: Variables and Data Types in Java Programming,@HKEDITZ08,Notes are not available 🚫,Notes are not available,negative
Java Tutorial: Variables and Data Types in Java Programming,@priyanshu7434,"Sir, There is NO response on server for downloading Java Cheatsheet  via <a href=""https://api.codewithharry.com/media/videoSeriesFiles/courseFiles/java-tutorials-for-beginners-1/UltimateJavaCheatSheet.pdf"">https://api.codewithharry.com/media/videoSeriesFiles/courseFiles/java-tutorials-for-beginners-1/UltimateJavaCheatSheet.pdf</a><br><br>Please help in downloading the same.",Sir There is NO response on server for downloading Java Cheatsheet via httpsapicodewithharrycommediavideoSeriesFilescourseFilesjavatutorialsforbeginners1UltimateJavaCheatSheetpdfPlease help in downloading the same,neutral
Java Tutorial: Variables and Data Types in Java Programming,@FITSIYAM1,Love you sir ❤ from Bangladesh 🇧🇩,Love you sir from Bangladesh,positive
Java Tutorial: Variables and Data Types in Java Programming,@makundameher9398,Amazing java corse,Amazing java corse,positive
Java Tutorial: Variables and Data Types in Java Programming,@ravan8575,"sir ,handrwritten notes link not working can u check it and share it ones again<br><a href=""http://www.youtube.com/results?search_query=%23codewithharry"">#CodeWithHarry</a><br>@CodeWithHarry",sir handrwritten notes link not working can u check it and share it ones againCodeWithHarryCodeWithHarry,neutral
Java Tutorial: Variables and Data Types in Java Programming,@user-cl5fg9en3x,-{(2^8n)/2} to [{(2^8n)/2}-1],28n2 to 28n21,neutral
Java Tutorial: Variables and Data Types in Java Programming,@user-cl5fg9en3x,Amazing java course,Amazing java course,positive
Java Tutorial: Variables and Data Types in Java Programming,@maheshdiwan3819,Amezing,Amezing,neutral
Java Tutorial: Variables and Data Types in Java Programming,@shreyasshivale3298,unable to download handwritten notes @CodeWithHarry,unable to download handwritten notes CodeWithHarry,negative
Java Tutorial: Variables and Data Types in Java Programming,@k_shii,[-2^8n/2 to 2^8n/2-1],28n2 to 28n21,neutral
Java Tutorial: Variables and Data Types in Java Programming,@kartiksharma7803,Amazing course,Amazing course,positive
Java Tutorial: Variables and Data Types in Java Programming,@ankur__x18,-(2^8n)/2 to [(2^8n)/2] - 1,28n2 to 28n2 1,neutral
Java Tutorial: Variables and Data Types in Java Programming,@user-fc4if5iy3z,Notes kaise load kre sir,Notes kaise load kre sir,neutral
Java Tutorial: Variables and Data Types in Java Programming,@kaustavroy6336,"Sir, the notes cannot be accessed",Sir the notes cannot be accessed,neutral
Java Tutorial: Variables and Data Types in Java Programming,@GaganDeep32469,comment lelo,comment lelo,neutral
Java Tutorial: Variables and Data Types in Java Programming,@hashmiqureshi715,Amazing course,Amazing course,positive
Java Tutorial: Variables and Data Types in Java Programming,@priyanshuverma7673,-2^n-1 to [2^n-1]-1,2n1 to 2n11,neutral
Java Tutorial: Variables and Data Types in Java Programming,@Satishday18,Sir mujhe kam samjh me aa raha hai par video dekhne me kuch sikhne ko mil raha hai,Sir mujhe kam samjh me aa raha hai par video dekhne me kuch sikhne ko mil raha hai,neutral
Java Tutorial: Variables and Data Types in Java Programming,@luciferking1481,sir ji handwritten notes  java course is not opening sir<br>help me sir😞😞,sir ji handwritten notes java course is not opening sirhelp me sir,neutral
Java Tutorial: Variables and Data Types in Java Programming,@Relaxingmusic-nk7py,best on youtube channel harry bhai,best on youtube channel harry bhai,positive
Java Tutorial: Variables and Data Types in Java Programming,@sudip2478,Your handwritten notes are not accessible. can u  fix that pls🙁👀,Your handwritten notes are not accessible can u fix that pls,negative
Java Tutorial: Variables and Data Types in Java Programming,@manveshsingh6097,bro notes download nhi ho  rhe<br><br><br>pls check it!!,bro notes download nhi ho rhepls check it,neutral
Java Tutorial: Variables and Data Types in Java Programming,@SahaandFamily,Amazing Java Course bro!!,Amazing Java Course bro,positive
Java Tutorial: Variables and Data Types in Java Programming,@mohitdhiman9879,"public class primitive {<br>    public static void main(String []args){<br>        System.out.print(&quot;Sum of three numbers on =&quot;);<br>        int a = 67;<br>        int b = 67;<br>        int c = 67;<br>        int sum  = a  + b + c;<br>        System.out.println(sum);<br>    }<br>}",public class primitive public static void mainString args SystemoutprintquotSum of three numbers on quot int a 67 int b 67 int c 67 int sum a b c Systemoutprintlnsum,positive
Java Tutorial: Variables and Data Types in Java Programming,@Relaxingmusic-nk7py,amazing vedio harry bhai,amazing vedio harry bhai,positive
Java Tutorial: Variables and Data Types in Java Programming,@mayanksingh3450,Amazing JAVA Course,Amazing JAVA Course,positive
Java Tutorial: Variables and Data Types in Java Programming,@amanthapa8217,2^n-1 -  (2^n-1)-1,2n1 2n11,neutral
Java Tutorial: Variables and Data Types in Java Programming,@ZuhaibUllah-gh5sy,Best Teacher In The Town,Best Teacher In The Town,positive
Java Tutorial: Variables and Data Types in Java Programming,@Shalumeena-rl7fy,Please provide  link for the notes,Please provide link for the notes,neutral
Java Tutorial: Variables and Data Types in Java Programming,@user-qg9fh3cd1n,Nice sir,Nice sir,positive
Java Tutorial: Variables and Data Types in Java Programming,@akashrohit2705,Amazing JAVA course,Amazing JAVA course,positive
Java Tutorial: Variables and Data Types in Java Programming,@matrix_prime739,amazing java course,amazing java course,positive
Java Tutorial: Variables and Data Types in Java Programming,@user-vi7sr8vp6m,(2n )/2 (2n)/2 -1,2n 2 2n2 1,neutral
Java Tutorial: Variables and Data Types in Java Programming,@AnjaliKumari-cq4pj,Thankyou so much sir ....these videos are really helpful,Thankyou so much sir these videos are really helpful,positive
Java Tutorial: Variables and Data Types in Java Programming,@physicswithlove7856,amazing java code,amazing java code,positive
Java Tutorial: Variables and Data Types in Java Programming,@marmi2519,"<a href=""https://www.youtube.com/watch?v=X0zdAG7gfgs&amp;t=840"">14:00</a>",1400,neutral
Java Tutorial: Variables and Data Types in Java Programming,@PratikShukla-gu9jd,Amazing course,Amazing course,positive
Java Tutorial: Variables and Data Types in Java Programming,@RimshaAkram-wh3fu,_(2^n)2  to (2^n)2_1,2n2 to 2n21,neutral
Java Tutorial: Variables and Data Types in Java Programming,@dozn2fly,Bhai mera code print nhi ho rha,Bhai mera code print nhi ho rha,neutral
